image,severity,code,box_index,detail
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0069.png,warning,small_box,1,box area 0.3507% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0070.png,warning,small_box,1,box area 0.3758% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0071.png,warning,small_box,2,box area 0.3367% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0072.png,warning,small_box,1,box area 0.3254% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0072.png,warning,small_box,2,box area 0.2324% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0072.png,warning,small_box,3,box area 0.1179% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0073.png,warning,small_box,0,box area 0.2444% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0073.png,warning,small_box,1,box area 0.1518% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0073.png,warning,small_box,2,box area 0.1241% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0073.png,warning,small_box,3,box area 0.1636% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0073.png,warning,small_box,4,box area 0.3646% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0073.png,warning,small_box,5,box area 0.1469% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0074.png,warning,small_box,0,box area 0.3472% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0074.png,warning,small_box,1,box area 0.3280% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0074.png,warning,small_box,2,box area 0.1329% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0078.png,warning,small_box,0,box area 0.4280% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0078.png,warning,small_box,1,box area 0.2853% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0078.png,warning,small_box,2,box area 0.2052% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0080.png,warning,small_box,0,box area 0.2067% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0080.png,warning,small_box,1,box area 0.1094% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0080.png,warning,small_box,2,box area 0.0582% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0080.png,warning,small_box,3,box area 0.1334% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0084.png,warning,small_box,1,box area 0.3575% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0084.png,warning,small_box,2,box area 0.1766% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0084.png,warning,small_box,3,box area 0.3714% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0085.png,warning,small_box,0,box area 0.2256% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0085.png,warning,small_box,1,box area 0.1375% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0085.png,warning,small_box,2,box area 0.2972% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0086.png,warning,small_box,0,box area 0.3947% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0086.png,warning,small_box,1,box area 0.1126% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0089.png,warning,small_box,0,box area 0.4426% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0089.png,warning,small_box,1,box area 0.3303% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0090.png,warning,small_box,0,box area 0.4074% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0090.png,warning,small_box,1,box area 0.1132% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0090.png,warning,small_box,2,box area 0.3303% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0096.png,warning,small_box,0,box area 0.1737% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0096.png,warning,small_box,1,box area 0.2020% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0096.png,warning,small_box,2,box area 0.1314% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0096.png,warning,small_box,3,box area 0.3777% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0100.png,warning,small_box,1,box area 0.2909% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0102.png,warning,small_box,1,box area 0.1762% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0102.png,warning,small_box,2,box area 0.1441% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0104.png,warning,small_box,0,box area 0.2554% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0104.png,warning,small_box,1,box area 0.3450% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0104.png,warning,small_box,2,box area 0.1747% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0104.png,warning,small_box,3,box area 0.2624% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0105.png,warning,small_box,0,box area 0.4198% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0105.png,warning,small_box,1,box area 0.1384% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0109.png,warning,small_box,0,box area 0.2642% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0109.png,warning,small_box,1,box area 0.0936% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0115.png,warning,small_box,1,box area 0.4771% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0116.png,warning,small_box,0,box area 0.1688% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0116.png,warning,small_box,1,box area 0.4526% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0116.png,warning,small_box,2,box area 0.4118% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0116.png,warning,small_box,3,box area 0.1240% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0117.png,warning,small_box,1,box area 0.2312% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0118.png,warning,small_box,1,box area 0.2255% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0118.png,warning,small_box,2,box area 0.4008% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0121.png,warning,small_box,0,box area 0.4321% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0121.png,warning,small_box,2,box area 0.2988% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0122.png,warning,small_box,0,box area 0.2986% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0131.png,warning,small_box,1,box area 0.1820% of the image is below the 0.50% threshold; plates this small are hard to learn
