image,severity,code,box_index,detail
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6930_jpg.rf.34e048e687173aafdfec15755aa116ca.jpg,warning,small_box,0,box area 0.4404% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6931_jpg.rf.1ce39bf056955e88e94afa0c93557309.jpg,warning,small_box,0,box area 0.2461% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6935_jpg.rf.c3da23556a1a5ed920a72245a86b75bb.jpg,warning,small_box,0,box area 0.3906% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6938_jpg.rf.08f6a3ff928f1fa8ed064ec33c583f91.jpg,warning,small_box,0,box area 0.4316% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6944_jpg.rf.7fdbc089d54d12598b82efcef23d2938.jpg,warning,small_box,0,box area 0.2698% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6949_jpg.rf.53e17ee0c83973edf0fed207f36677e7.jpg,warning,small_box,0,box area 0.4155% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6950_jpg.rf.63476c835f1c96a646f5eac4452ec80a.jpg,warning,small_box,0,box area 0.4570% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6952_jpg.rf.3a429d7a79a9d4109aa4a86af5f53bde.jpg,warning,small_box,0,box area 0.4436% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6953_jpg.rf.302bfd579580b528e17935144026b865.jpg,warning,small_box,0,box area 0.2197% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6955_jpg.rf.a2567207ff62569a67c4194fc5598e9b.jpg,warning,small_box,0,box area 0.4717% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\Screenshot-2024-06-30-102953_png.rf.11a2a97133bd4468c36ac1932669a7e8.jpg,warning,small_box,0,box area 0.2366% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\sigovn-cho-thue-xe-tu-lai-nguyen-van-cu-ha-noi-kia-seltos_jpeg_jpg.rf.82a7ba4cbda78f63390e1719683c4a33.jpg,warning,small_box,0,box area 0.4922% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\Xe-Dau-Gia_jpg.rf.9b0b19e97fbc778cbb960f76abb74d35.jpg,warning,small_box,0,box area 0.2673% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\Xe-Dau-Gia_jpg.rf.9b0b19e97fbc778cbb960f76abb74d35.jpg,warning,small_box,1,box area 0.0765% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\y-nghia-bien-so-xe-quan-doi_jpg.rf.b062e5c7d063692ac38153d7ddaf5bfe.jpg,warning,small_box,1,box area 0.1351% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\valid\images\1654585744-f9fc3809974def063eda87af20707a2f-width1523height1021_jpg.rf.9a0fa94486f89ac2b10a9ebdffd21151.jpg,warning,small_box,0,box area 0.4351% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\valid\images\2075z3631906951917_9e5888f51c3b80e65f5dda6674cd257e_jpg.rf.0faa883366b53641d867212885c76561.jpg,warning,small_box,0,box area 0.3516% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\valid\images\415985659_741940501327067_6136772958314996976_n_jpg.rf.28438f0115cb976a6eb83ce31b7c61f0.jpg,warning,small_box,0,box area 0.4504% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\valid\images\428604586_263099216829104_5773606982256495424_n_jpg.rf.ce0f7eab59fc78fdc0718aa13f8486e7.jpg,warning,small_box,0,box area 0.4688% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\valid\images\428613183_263099440162415_5973227047855622362_n_jpg.rf.719df71f7bbd502217ee771c771387b1.jpg,warning,small_box,0,box area 0.2822% of the image is below the 0.50% threshold; plates this small are hard to learn
