image,severity,code,box_index,detail
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi92_jpg.rf.e927626a8b9c7fc6a8b1b3f5c14cebdc.jpg,warning,small_box,0,box area 0.1523% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi92_jpg.rf.e927626a8b9c7fc6a8b1b3f5c14cebdc.jpg,warning,small_box,1,box area 0.2725% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen106_jpg.rf.b4122ccc62670ffa3be897a772d9307a.jpg,warning,small_box,0,box area 0.3113% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen109_jpg.rf.8227453f08d7c497b390d4782702998c.jpg,warning,small_box,0,box area 0.3734% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen115_jpg.rf.18db2f17ce08526f238877c1f1947aec.jpg,warning,small_box,0,box area 0.4731% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen125_jpg.rf.b0cf236757364a77ac8cd467cc464cef.jpg,warning,small_box,0,box area 0.4482% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen142_jpg.rf.0731035d446691b61d52be57b711866f.jpg,warning,small_box,0,box area 0.4196% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen156_jpg.rf.1d7b580f95a9eac4575a8e6744b87c16.jpg,warning,small_box,0,box area 0.4364% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen189_jpg.rf.d274a349c0ead49f0c2c12ccdd467b76.jpg,warning,small_box,0,box area 0.4268% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen200_jpg.rf.b8d44c62c4a67ce31dea2bf8273a5d57.jpg,warning,small_box,0,box area 0.2358% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen221_jpg.rf.ac7d537c74d7a346f48084543cfe71f8.jpg,warning,small_box,0,box area 0.3285% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen246_jpg.rf.e762bcf17aec7af276a8868bbc0d5b3f.jpg,warning,small_box,0,box area 0.2134% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen252_jpg.rf.6f6b7239c9d69b26cebe421d54becf6d.jpg,warning,small_box,0,box area 0.2760% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen285_jpg.rf.e645e9b902d944c1b7b080d94d374464.jpg,warning,small_box,0,box area 0.2512% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen30_jpg.rf.c86e7f74770c15b3c6b97862f19015a4.jpg,warning,small_box,0,box area 0.2303% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen312_jpg.rf.8a33ef56435ebfe6fb9088cf3f99b09e.jpg,warning,small_box,0,box area 0.3704% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\CarLongPlateGen326_jpg.rf.ddd95df2484f829a3542ae610e6936c1.jpg,warning,small_box,0,box area 0.4638% of the image is below the 0.50% threshold; plates this small are hard to learn
